,comment,webtoon_name,webtoon_num,label
0,근데 여기 헤드들 다 군면제네김기명 교도소복무한신우 애꾸성요한 실명장현 고아서성은 정신병자왕오춘 뒤짐,외모지상주의,641253,먼치킨인
1,기다리다 보면 제대로된 316화 올라오고 작가의 말에 * 운영자 - 잘못올림 ㅈㅅ; 이렇게 올라온다그리고 이런거는 작가 실수가 아니라 네이버 실수임 네이버를 욕하자,외모지상주의,641253,먼치킨인
2,버스를 버텻는데 전깃줄을 못버틴다? 전깃줄이 세계관 최강자네,외모지상주의,641253,똑똑한
3,⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⢻⢷⣷⣣⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⣀⣀⣀⡀⠀⠀⠀⠀⠀⠀⠀⢏⣿⣿⡵⡀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⣠⣮⣷⣿⣿⣿⣿⣷⣄⣄⠀⠀⠀⠀⠈⢞⣿⣿⡵⡀⠀⠀⠀⠀⠀⠀ ⠀⠀⡠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⣏⢦⣤⡀⠀⠀⠀⠫⣻⣿⣾⢄⠀⠀⠀⠀⠀ ⠀⣔⣿⣿⣿⣿⣿⣿⠿⣿⠻⢟⣿⣿⣿⣿⣿⡆⠀⠀⠀⠑⡿⣿⣯⢆⠀⠀⠀⠀ ⢰⣸⢿⣻⢟⠃⠉⠉⠀⡠⠤⠸⣸⣿⣿⣿⡳⠁⠀⠀⠀⠀⡨⠺⠿⠇⢓⡄⠀⠀ ⠧⠊⠁⠘⣖⣳⠠⣶⣋⡹⠁⠀⠛⣩⢻⠋⠀⠀⠀⠀⠀⢀⠇⠀⠀⠀⠀⢾⠀⠀ ⠀⠀⢠⠂⠁⠓⠒⠊⠀⡠⠤⡀⢠⠀⠚⠀⠀⠀⠀⠀⡠⠊⢀⠤⡤⣔⠩⠼⡀⠀ ⠀⠀⢇⠀⠀⢀⡠⢔⣪⠠⠖⠇⡘⠀⠀⠀⢀⠄⠒⠉⢀⠔⠁⠀⣧⢞⠮⠭⠵⡀ ⠀⠀⠘⠒⠉⣾⣀⣀⠀⣀⣀⠦⠗⠹⠙⠃⠁⠀⡠⠔⡡⠔⠒⠉⡨⢴⢹⣿⣏⡆ ⠀⠀⠀⠀⡸⠉⠀⠀⠁⠀⠀⠀⠀⣇⡠⡄⡶⠯⠔⠈⠀⠀⡠⠊⠀⠀⡿⣿⣿⡇ ⠀⠀⠀⢀⠇⠀⠀⠀⠀⢀⣀⠤⡤⠵⠊⢸⠀⡠⠤⠤⠐⠉⠀⠀⠀⠀⣷⣿⢿⡇ ⠀⠀⢀⠃⠀⢀⣀⣀⣀⣠⣀⣀⣿⠉⠉⠉⠉⠀아 ㅋㅋ 이건아니지⠀⠀⠀⠀⠀⠀⠀⠀⠀,외모지상주의,641253,빵터지는
4,이게 낭만이라는건가요?,외모지상주의,641253,똑똑한
5,"펙트 저거 3년전임 ㅋㅋㅋ지금 싸워봐봐왕오춘: 장진혁피셜로 제대로 움직이면 곽&팽듀오랑 같이 4대크루 통핮가능성요한: 강북,강서,강남,강동에서 종건찾을려고 별에별놈들이랑 다 싸워봐서 소프트웨어,하드웨어,재능 만렙찍음김기명: 2년후 종건에개 상처는 못냈지만 입쪽에 피터지게하고 소년원에서 1짱먹고 ㅈㄴ단련함글고애초에 김기명vs성요한vs왕오춘이렇게 하고 있어서 힘 다 빠진 상태에서 막타침ㅋㅋ 추하다 성은아",외모지상주의,641253,먼치킨인
6,5주뒤에보는 님들아 305화가 재업로드되서 배댓들 화난거임 급발진으로 보진 말아줘ㅋㅋ,외모지상주의,641253,똑똑한
7,서성은이 다처바른다고?? 너무 벨붕아닌가,외모지상주의,641253,똑똑한
8,도박장면 보여주면서 준구가 나는 패가 좋은데 왜 계속 지는거 같지?  부분 복선 같은데...준구가 비밀친구를 만들어 좋은 패 만들어서이기는 것처럼 보이지만 종건은 ㄹㅇ 최회장 측근이라 준구 후에 종건한테 완전 털릴거 같은데,외모지상주의,641253,어두운
9,그냥 왕오춘이 서성은 존나세다고 했잖아 ㅋㅋㅋㅋㅋ뭘 막타충이야애초에 종건이 광기 컨트롤하면 세질거라고 복선도 넣음,외모지상주의,641253,똑똑한
10,"저 때 기준으론 개인적으론 장현>서성은>왕오춘>김기명=성요한 으로 생각할수 있음장현이 왜 1위냐면 저때 종건에게 줜나 큰 흉터준게 장현임 성요한은 물론 김기명, 왕오춘도 종건에게 닿지도 못한 시절임 서성은이 다른애들 싸우는데 기습한 점도 있고, 일단 저때 기준으론 장현이 4대크루 싸움 1위임",외모지상주의,641253,어두운
11,"5주후에 볼 친구들이 댓글보고 뭔 상황일까 해서 간단 요약해준다10/29일 11시 09분 외모지상주의 김기명15편 업로드를 하였는데 김기명 4편이 업로드가 되어서 낮은 별점과 30분도 되지않아 12000여개의 댓글이 달림ㅈ이버는 30분쯤 뒤에서야 글을 수정 , 사과 없음 결론 박태준도 피해보고 독자도 피해봄",외모지상주의,641253,똑똑한
12,우리가 얕보였나..그럼 안되는데,외모지상주의,641253,똑똑한
13,"내가 외모지상주의에 제일 궁금한거 1.이지훈 박형석 관계2.권지태가 김기명한테 충성하는 이유3.진호빈눈3.회장 팔 자른사람4.김갑룡 죽은이유5.일해회 헤드 정체6.10명의 천재중 나머지 2명은 누구인가?7.미진이 수영복8.준구가 비밀친구 모으는이유9.최회장이 교도소에서 만난사람10.이도규손과 배상처11.일해회 1,2,3계열사12.한신우는 살아있나?13.쁘래딱 전투력",외모지상주의,641253,똑똑한
14,형석아 미안한데 주인공 기명이로 바꾸고제목 낭만지상주의 로 바꿔야겠다존@나 재밌다,외모지상주의,641253,먼치킨인
15,근데 서성은은 왜 저기있음?4대 크루도아니면서 진짜 서성거리네,외모지상주의,641253,기다려지는
16,베댓들 근데 박형석이 누구길래 자꾸 언급하는거임?,외모지상주의,641253,똑똑한
17,이거 보니까 '지호 돈 돌려줘라'한 바스코가 나빠보이네,외모지상주의,641253,어두운
18,"기명아 또또한다 욕해서 미안하다,,, 이유가있었네",외모지상주의,641253,똑똑한
19,50억 만들려고 또또총판한거야?̊̈?̊̈?̊̈?,외모지상주의,641253,똑똑한
20,아니 근데 왜 다들 한신우 얘기는 없어 ㅜㅜㅜㅜ 신우형 걱정 하는건 나뿐이냐???,외모지상주의,641253,먼치킨인
21,형석아 미안한데 이제 니가 나오면 재미없을것같다,외모지상주의,641253,똑똑한
22,이걸 이리 살리네 ㅋㅋ똥싼 불법 또또 김기띵 에피소드를...역시 만신,외모지상주의,641253,빵터지는
23,근데 외지주 보스들은 노출증걸림?다 벗고있네;,외모지상주의,641253,먼치킨인
24,성요한 이새끼봐라 존댓말쓰다가 쌔지니까 노빠꾸로 반말박네,외모지상주의,641253,똑똑한
25,솔직히 작가님.... 형석이를 앞으로 기명이보다 간지있고 낭만있는애로 만들수있으십니까?진짜 주인공보다 인기있게만드시면 어쩌자는거임?ㅋㅋㅋㅋ,외모지상주의,641253,어두운
26,저거 중간에 종건 준구랑 싸운 지방크루 진호빈 있었던 천량크루 아니냐 복선일거 같은데??,외모지상주의,641253,어두운
27,"솔직히 준구스킬까지 습득했으니 현재로선 성요한이 1등아님?저때기준으론 어떨진몰라도 솔직히준구가 싸울때 위험하다,아프다 소리한건 한신우랑 성요한 둘뿐임이도규조차 압도적 재능이라 그랬었고",외모지상주의,641253,똑똑한
28,저 술 저거 원래 오줌인데 네이버 검열때문에 술로 바꾼듯 위치나 자세나 떨림이나 술이 아님;,외모지상주의,641253,어두운
29,형석아.. 미안한데 너가 안나오니까 너무 재밌다..,외모지상주의,641253,똑똑한
30,김준구 잠시나마 압도한게 No.8이면 1~7은 김준구 죽이냐?ㅋㅋ,외모지상주의,641253,빵터지는
