,comment,webtoon_name,webtoon_num
0,애초에 단이 없었으면 싸움 방식을 저렇게 저돌적인 스탠스로 취하지 않았겠지.. 무슨 단 없었으면 몇번 죽은거냐 이런 소리가 나와.. 그럼 저렇게 맞고도 멀쩡히 재생 시켜주는 기물이 있는데 조심스럽게 싸우냐; 충분한 힘에는 기술이 필요 없는 법이야. 코끼리가 위빙하는거 봤냐? 맞아도 멀쩡하니깐 피할 이유가 없는거지 ,고수,662774
1,강룡이 자신의 100%를 초장부터 발산한 유일한 승부아니냐? 진짜 이제야 파천신군 직계제자답네 ,고수,662774
2,코끼리 위빙ㅋㅋㅋㅋㅋㅋㅋ이 베댓 미친양반아ㅋㅋㅋㅋㅋㅋ,고수,662774
3,혈비: 내 36개월 할부로 산 철곡산이 ㅠㅠ,고수,662774
4,숨막히도록 재미있었지만 작가 및 도움주는 분들도 건강관리 유의하시길...,고수,662774
5,코끼리가 위빙하는거 봤냐니... 순간 설득당해버렸다,고수,662774
6,환사 : 형 도와주러왔구나?!옥천비 : 아니 나도 죽었어,고수,662774
7,용비한테 단이 있었다면...아마도 황금받고 팔지않을까?ㅋㅋ,고수,662774
8,어찌어찌 옥천비 죽이고 나면 환사 등장할 듯가장 까다로운 상대를 죽여줬다면서 입털면서 나오겠지 ㅋ,고수,662774
9,와 이건 늦을만했네 산 무너지는 장면만 이틀 걸렸을듯,고수,662774
10,"저도 용비불패 팬으로서 다른 분들이 용비구휘 아끼는 맘은 잘 알겠지만, 이건 엄연히 용비불패가 아니라 강룡이 주인공인 고수...인데....ㅠㅜ용비불패 보신분들이라면 다 알겠지만, 신물을 가진다하여 자신의 노력으로 이루지못한 성취는 다 필요없는것이겠죠. 하지만 저 레벨까지 쌓아온 노력도 중한것이고, 이전작들 통해 작가님께서 신물을 스토리에 어떻게 활용하고 녹여내는지 다들 잘 알고계시면서 1주마다 와서 일희일비하는것도 존중해야겠지만 좀 개인적으로는.. 약간 안타깝네요.작가님. 건강 유의하시고 오늘 역시 작화가 엄청납니다. 좋은 하루 되세요",고수,662774
11,"집사 영감이 가장 수상함. 환사 가문을 멸문시킨것, 옥천비와 만나게 한것 모두 집사 영감이 모시는 진짜 주인의 안배같다.",고수,662774
12,여기서 옥천비 죽으면 최종보스는 단 만든사람아님???,고수,662774
13,애초에 주인공이 강룡인데 보스를 늙은 전작주인공이 잡으면 강룡이 쩌리되는거지ㅋㅋ,고수,662774
14,볼수록 풍경묘사 쩔지않냐ㅋㅋ풀하나까지도 대단우ㅏㄷ,고수,662774
15,강룡이랑 용비가 서로 대화하고있어...,고수,662774
16,담주 월욜입대다ㅋㅋ6주 훈련소끝나고 6주치 몰아봐야지~ 부럽지?ㅠㅠ,고수,662774
17,강룡이 용비나 구휘보다 강하다기보다는 옥천비를 상대하는데 파천신공이 더 효율적인것으로 보입니다,고수,662774
18,파천신군 ㄹㅇ 참스승인듯자기 불구된 이유인 독에 만독불침지체용비 구휘도 힘든 천원진 내에서 적응시킴자기 수명까지 깎아가면서 내공 넘겨줌이 정도면 최고의 스승이지,고수,662774
19,고수 보고 깨달은 건데 잔월대마는 진짜 마교치고는 자존심이랑 긍지도 높은 편이었던 것 같다.실력도 있지만 나름 부하도 아낄 줄 알고 도망을 수치로 느끼고 구휘랑 현재앙을 두고 자신이 질 걸 직감하면서도 싸우려는 걸 보면 괜히 광혈대마가 교주랑은 안 어울린다 한 게 아닌 것같다,고수,662774
20,용비불패나 고수보면 죽은 인물들은 정말 진짜 죽었구나를 알수 있게끔 처리하는데 환사는 저따구로 피랑 팔만 나왔다는건 안죽었을 가능성이 크다고 봅니다.더군다나 네임드급이라면 확실하게 죽은걸 보여주는 연출을 하는 작가분들이라서....,고수,662774
21,"진짜 파천신군이 지금까지 진심으로 힘을보인적이 한번도 없는거 같음 그리고 파천십이신공을 연속으로 쓸수있는사람도 파천신군이 유일할듯 참고로강룡은 팔맥다푼상태에서 무저곡과 명륜공으로 거이 내공을 바닥을쳤음, 그런데 현재 단으로 인해 그런 내공에대한 단점을 커버해서 파천십이신공을 구현하지 않을까싶음",고수,662774
22,옥천비가 한 말 중에 파천신군이 자기랑은 상반된 이유로 신선림을 찾는다했는데 그럼 파천신군도 혈비처럼 신선림을 찾았단 건데 상반된 이유라하고 파천신군이 자기의 정복이 정화를 위한 거라 했으니 어쩌면 파천신군은 하라는 무공은 안 하고 돈놀이랑 정치놀음하는 지금이 아닌 진짜 협과 무가 있던 구무림을 동경했고 그 당시로 희귀하고 싶었던 게 아닐까?신선림말고도 우복의 스승인 흡성대공 완성한 사람이나 사패천을 찾은 것도 구무림의 영웅들과 만나고 그들이 다시 무림계를 바꿔주길 부탁히기 위한 일환이었을지도 모름파천신군 당신은 대체 얼마나 저희의 가슴을 울리시려는 겁니까...,고수,662774
23,옥천비한테 현상금 달려있으면 용비가 5초컷 냈을텐데,고수,662774
